Number,Block,Base,Fluff,Forehead,Belly,Mood,Nose,Tail,Pelt,Outline,Paws,Head,Face,Bottoms,Top,Tools,Unique,Status,Price,Offer,MaxOffer
1,12080536,Classic Plus,NA,NA,NA,Happy,NA,NA,NA,NA,Neon Green,Dark Pink Sweatband,3D Glasses,NA,NA,Lemon Icepop,NA,unlisted,0.0,1,0.2
2,12080767,Classic,NA,NA,NA,Pleased,NA,Light Brown,NA,NA,Cold Feet,NA,Red Glasses,Brown,NA,Water,NA,unlisted,0.0,0,0.0
3,12080747,Classic,NA,NA,Off White,Happy,Very Cold,NA,NA,NA,Mellow Yellow,Dark Pink Sweatband,Red Glasses,NA,NA,Blueberry Icepop,NA,unlisted,0.0,0,0.0
4,12082041,Black,NA,NA,Brown,Pleased,Grey,Blue,NA,NA,Mellow Yellow,Grey Crown,Blue Round Shades,Dark Green,NA,NA,NA,for_sale,5.0,1,0.1
5,12081917,Classic,NA,Blue,NA,Pleased,NA,Tan,NA,NA,Primary,Dark Pink Sweatband,Surprised Brows,Dark Green,NA,Dumbbell,NA,unlisted,0.0,0,0.0
6,12082035,Classic,NA,NA,NA,Silly,NA,NA,NA,NA,Neon Green,Blue Sweatband,VR,Black,Green Bandana,Strawberry Ice Cream,NA,unlisted,0.0,0,0.0
7,12082110,Mellow Yellow,NA,Brown,NA,Meh,Brown,Sage,NA,NA,Neon Green,NA,Surprised Brows,NA,Pumpkin,NA,NA,for_sale,4.2,0,0.0
8,12082261,Basic Pink,NA,NA,NA,Silly,NA,Sage,NA,NA,Mellow Yellow,NA,Green Blue Goggles,NA,Pumpkin,Strawberry Ice Cream,NA,for_sale,0.88,0,0.0
9,12082114,Stallion,NA,NA,Off White,Pleased,Pink,NA,NA,Brown,NA,Small Pink Bow,NA,NA,NA,NA,NA,unlisted,0.0,0,0.0
10,12082202,Passion Fruit,NA,NA,NA,Happy,Brown,NA,NA,NA,NA,Grey Crown,NA,NA,NA,NA,NA,for_sale,6.0,1,0.08
11,12082466,Mellow Yellow,NA,NA,NA,Pleased,NA,NA,NA,Red,NA,Dark Pink Sweatband,Sunglasses,Green,Green Bandana,NA,NA,unlisted,0.0,0,0.0
12,12082675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The Boy Who Lived,unlisted,0.0,1,0.5
13,12082713,Basic Pink,NA,NA,Grey,Pleased,Cold,Purple,NA,Light Blue,Cold Feet,NA,Sunglasses,NA,Pink Collar,Berry Ice Pop,NA,unlisted,0.0,1,0.17
14,12082907,Classic,NA,NA,NA,Happy,Grey,Light Pink,NA,Brown,NA,Tophat,Green Goggles,NA,Blue Bandana,NA,NA,unlisted,0.0,0,0.0
15,12082779,Cornflower,NA,NA,NA,Silly,Brown,NA,NA,Light Blue,NA,Dark Pink Sweatband,Alert Brows,Black,NA,Dumbbell,NA,unlisted,0.0,0,0.0
16,12082913,Classic,NA,NA,NA,Happy,NA,NA,NA,NA,NA,Black Sweatband,Surprised Brows,NA,Yellow Bandana,Berry Ice Pop,NA,for_sale,0.8,0,0.0
17,12083141,Classic,NA,NA,NA,Pleased,NA,NA,NA,Brown,Cold Feet,Dark Green Sweatband,Green Round Shades,Jeans,Yellow Bandana,Berry Ice Pop,NA,unlisted,0.0,0,0.0
18,12083163,Dark Grey,NA,NA,NA,Pleased,NA,NA,NA,NA,NA,Tophat,3D Glasses,NA,NA,Water,NA,unlisted,0.0,0,0.0
19,12083165,Pistachio,NA,NA,NA,Content,NA,Blue,NA,Blue,NA,NA,Dark Blue Round Shades,Orange,Blue Collar,NA,NA,unlisted,0.0,1,0.081
20,12083151,Blush,Blue,NA,NA,Pleased,Pink,Tan,NA,NA,NA,NA,NA,NA,Pink Collar,NA,NA,unlisted,0.0,1,0.081
21,12083139,Thin Mint,NA,NA,NA,Meh,NA,Tan,NA,NA,Dark Brown,NA,Red Round Shades,NA,NA,NA,NA,for_sale,1.5,0,0.0
22,12083204,Grey,NA,NA,Off White,Pleased,Pink,Purple,NA,Yellow,Sage,Green Sweatband,3D Glasses,NA,NA,Berry Ice Pop,NA,unlisted,0.0,1,0.1
23,12083222,Fire,NA,NA,NA,Pissed,Orange,NA,NA,NA,NA,NA,Alert Brows,NA,Purple Heart,NA,NA,unlisted,0.0,1,0.081
24,12083242,Thin Mint,NA,NA,Brown,Unamused,Grey,NA,NA,NA,Neon Green,Dark Pink Sweatband,VR Blue,NA,Red Collar,NA,NA,unlisted,0.0,1,0.081
25,12083236,Classic Plus,NA,NA,NA,Pleased,NA,Tan,Brown Spots,NA,NA,Dark Pink Sweatband,Green Readers,NA,NA,Berry Ice Pop,NA,for_sale,25.0,0,0.0
26,12083283,Classic,NA,NA,NA,Meh,Pink,Sage,NA,NA,NA,NA,Green Round Shades,NA,NA,NA,NA,for_sale,0.5,1,0.042
27,12083290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Uniswap,for_sale,11.0,1,0.51
28,12083321,Classic,NA,NA,Brown,Pleased,Grey,NA,NA,Light Blue,Pastel,Black Sweatband,VR Green,NA,Green Flowers,NA,NA,for_sale,0.91,0,0.0
29,12083313,Grapefruit,NA,NA,NA,Happy,NA,Light Green,Orange Brown Stripes,Brown,NA,Purple,Yellow Orange Shades,Pink,Orange Flowers,NA,NA,for_sale,0.83,0,0.0
